code,instructor,schedule,description,credits,semesters,prerequisites,prerequisite_text
ETHN 1010,Thomas Edge,"(Class Length) 50 minutes, 1 hour 15 minutes","This gateway course to the field of Ethnic Studies introduces students to interdisciplinary analyses of race and ethnicity in the U.S. It explores the social construction and ideologies of race in colonial conquest, slavery, and immigration, and the intersections of race with other hierarchies such as class, gender, and sexuality. Approved for Distance Education. Students cannot take ETHN 1010 and ETHN 1920 or 1930 on the topic ""Introduction to Ethnic Studies.""",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,envs1010|ethn1010|acs2500|eng2110|eng2120|ital2620|phil2320|popc1700|thfm2150|ws2000|edfi2980|eiec2210|hist1250|soc2160|arch2330|arth1450|clcv2410|eng2610|ethn2200|fren2010|germ2010|muct1250|phil2190|rusn2150|span2010|afrs2000|asia1800|cast2010|geog1210|hist1510|inst2000|pols1710|soc2310|tech3020,"This gateway course to the field of Ethnic Studies introduces students to interdisciplinary analyses of race and ethnicity in the U.S. It explores the social construction and ideologies of race in colonial conquest, slavery, and immigration, and the intersections of race with other hierarchies such as class, gender, and sexuality. Approved for Distance Education. Students cannot take ETHN 1010 and ETHN 1920 or 1930 on the topic"
ETHN 1100,Luis Moreno,MWF (50 minutes),"Latina/o experience in the United States: cultures, life experiences, and the limited political, education, socio-economic opportunities of this minority. Students cannot take ETHN 1100 and ETHN 1920 or 1930 on the topic ""Introduction to Latina/o Studies.""",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ETHN 1200,Thomas Edge,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring, Summer. An introduction to the history of black studies, tracing it from its origins in the social, cultural, and political struggles for human and civil rights to the various intellectual currents which have defined the field as a discipline. It places special emphasis on the United States but also considers key authors, historical figures, and social movements from the black Diaspora. Students cannot take ETHN 1200 and ETHN 1920 or 1930 on the topic ""Introduction to African American Studies.""",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ETHN 1300,Vibha Bhalla,"TuTh (11:30am-12:45pm), TuTh (1:00pm-2:15pm), TuTh (9:30am-10:45am)","Fall, Spring. Similarities and differences of the various components of the Asian American category with reference to their individual histories and collective situation from the 19th century to the present. Students cannot take ETHN 1300 and ETHN 1920 or 1930 on the topics ""Introduction to Asian American Studies.""",3,Fall 2025|Spring 2025|Fall 2024|Fall 2023|Spring 2023,ethn1300|ethn1920|or1930,
ETHN 1600,Michelle Stokely,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring. An interdisciplinary examination of the Native American Diaspora in the context of European discovery and conquest. A general overview and comparative analysis of the diverse native people and cultures of North America, effects of colonialism and U.S. policy on Native American communities, federal Indian law and policy, and cultural negotiation. Students cannot take ETHN 1600 and ETHN 1920 or 1930 on the topic ""Introduction to Native American Studies.""",3,"Fall|Spring. An interdisciplinary examination of the Native American Diaspora in the context of European discovery and conquest. A general overview and comparative analysis of the diverse native people and cultures of North America|effects of colonialism and U.S. policy on Native American communities|federal Indian law and policy|and cultural negotiation. Students cannot take ETHN 1600 and ETHN 1920 or 1930 on the topic ""Introduction to Native American Studies.""",,
ETHN 2010,Thomas Edge,"(Class Length) 50 minutes, 1 hour 15 minutes","Fall or Spring. The nature, causes, and consequences of those social movements born out of the diasporan histories and experiences of racial and ethnic peoples/communities in the United States.",3,Spring 2025|Spring 2022|Spring 2020,,
ETHN 2600,Michelle Stokely,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring. Examines salient issues of interest to contemporary Native American people and communities. Selected topics may include federal Indian law and policy, assimilation, identity politics, Indian activism, natural resources, Native spirituality, economic development, tribal governance, sovereignty, decolonization and global indigeneity.",3,Fall 2025|Spring 2024|Fall 2019,,
GEOG 1210,Kefa Otiso,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Kefa Otiso, Yu Zhou, Karen Johnson-Webb Fall, Spring. Geographical analysis of variations and interrelationships of physical, cultural, economic, political, and population factors across the earth's surface. Focus on Europe, Africa, Middle East, and Asia",3,Fall 2025|Spring 2025|Fall 2024|Fall 2023|Spring 2023,,
GEOG 1220,Karen Johnson-Webb,"MW (4:30pm-5:45pm), TuTh (2:30pm-3:45pm), MW (6:00pm-7:15pm)","Fall, Spring. Geographical analysis of variations and interrelationships of physical, cultural, economic, political, and population factors across the earth's surface. Focus on North America, Latin America, Australia-New Zealand, and the Pacific Islands.",3,Spring 2024|Fall 2023|Fall 2022|Spring 2022|Fall 2021,,
GEOG 2300,Kefa Otiso,"MW (6:00pm-7:15pm), MW (7:30pm-8:45pm), TuTh (4:00pm-5:15pm)","Fall, Spring. Geographic influences upon human activities on the earth's surface. Cultural processes and global patterns of religion, language, education, technology, diet, health, resource use, political organization, economic activity, social organization, settlement, and population.",3,Fall 2025|Spring 2025|Spring 2024|Fall 2023|Spring 2023,,
GERO 1010,Cynthia Spitler,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring. An interdisciplinary examination of the Native American Diaspora in the context of European discovery and conquest. A general overview and comparative analysis of the diverse native people and cultures of North America, effects of colonialism and U.S. policy on Native American communities, federal Indian law and policy, and cultural negotiation. Students cannot take ETHN 1600 and ETHN 1920 or 1930 on the topic ""Introduction to Native American Studies.""",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HDFS 1930,Debra Scavuzzo,"(Class Length) 3 hours, 50 minutes","An examination of environmental and contextual factors that influence development through the life course while connecting domains of knowledge in human development and family. Emphasis placed on patterns of cognitive, biological, psychosocial, and trauma-aware development within the family system.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HDFS 2020,Christy Snyder,"M (6:00pm-9:00pm), Tu (6:00pm-9:00pm), MWF (10:30am-11:20am)","Fall, Spring, Summer. Analysis of trends in marriage and family relationships in contemporary society including family processes throughout life cycle. Course addresses diversity in the marriage and family experience, the dynamic nature of family systems, and the ways in which families are impacted by the broader social, political, and cultural context.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HIST 1250,Kara Barr,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Selected constitutional, intellectual, political and social developments that defined and shaped America between its first European settlement and the end of Reconstruction.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HIST 1260,Cheryl Dong,"MWF (50 minutes), TuTh (1 hour 15 minutes)","How and why selected economic, intellectual, political and social developments transformed post-Civil War America and shaped 20th-century American society. Approved for distance education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HIST 1510,Alannah Graves,"50 minutes, 1 hour 15 minutes","Fall, Spring, Summer. Comparative study of how and why economic, social, political and intellectual factors shaped and defined the history of selected Western and non-Western civilizations in the ancient and medieval periods.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HIST 1520,Michael Kimaid,"TuTh (1 hour 15 minutes), MW (1 hour 15 minutes)","Fall, Spring, Summer. Comparative study of how and why selected economic, social, political and intellectual revolutions of the modern world have transformed and are shaping contemporary European and non-Western cultures.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HNRS 2010,Heath Diehl,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring. The first of two courses required for all first-year Honors students. Students will gain practice in a systematic method of reflective critical thinking through the evaluation and construction of arguments drawn from readings, media, culture, and everyday life. Emphasis will be placed on the refining of reading, writing, thinking, speaking and listening skills, as well as the transfer of those skills to other arenas of students’ academic, professional, and personal lives.",3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,,admission to the Honors College or permission of Honors College Dean.
HNRS 2400,Kenneth Thompson,"MW (1 hour 15 minutes), MWF (50 minutes)","Interdisciplinary seminar that explores contemporary issues in business and the workforce. Emphasizes analysis, discussion, and evaluation of business problems and potential solutions for the public good. Introduces students to strategic decision-making frameworks that integrate primary and secondary research to prepare for a future Honors project. Fulfills the critical thinking applications requirement for 1st year Honors students.",3,,hnrs2010,HNRS 2010 and admission into BGSU's Honors College.
INST 2000,Franziska Schultz,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. This introduction to the International Studies major provides an interdisciplinary overview of the processes and effects of globalization. Major themes include population and migration (demographics), the role of women, environmental change, economic and political issues.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
MDIA 1030,Rick Busselle,"(Class Length) 50 minutes, 1 hour 15 minutes","Fall, Spring, Summer. Social trends as influenced by technology in the information society. Social policy and effects involving information technologies and information services. Examples from the telephone, computer, print, film, television, cable, radio and satellite systems. Open to nonmajors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
MDIA 3520,Xiaofeng Jia,"MWF (50 minutes), MW (1 hour 15 minutes)","This course examines applications and implications for social media. Social psychological perspectives of social media will be primarily examined, but the subjects of discussions and readings are not limited to those perspectives.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POLS 1100,Dominic Wells,"MWF (50 minutes), MW (1 hour 15 minutes)","Fall, Spring, Summer. Constitutional basis and development, political processes (parties, nominations and elections, interest groups and public opinion), federalism and institutions of national government.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POLS 1710,Scott Piroth,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. Basic concepts, approaches to and comparisons of different political systems, including political cultures, participation, interest groups, institutions and processes; essential tools and methods for the study of political systems in the world.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POLS 1720,Stefan Fritsch,"MWF (11:30am-12:20pm), MWF (10:30am-11:20am), TuTh (11:30am-12:45pm)","Fall, Spring, Summer. Historical and contemporary overview of the modern international system; governmental and nongovernmental actors influencing international relations; major issues of the post-cold-war period. Approved for distance education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PSYC 1010,Renee Brott,"(Class Length) 50 minutes, 1 hour 50 minutes","Fall, Spring, Summer. Scientific approaches to the study of behavior of organisms. Application to personal and social behavior.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
SOC 1010,Margaret Weinberger,"MWF, TuTh (no class length)","Fall, Spring, Summer. Scientific study of social structure, interaction, and institutions. Topics include gender, race, class, family, culture, and crime.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
SOC 2020,Margaret Weinberger,"(Class Length) 2 hours 50 minutes, 1 hour 15 minutes","Fall, Spring, Summer. Application of sociological concepts and theories to understand the social causes of problems such as poverty, war, and global warming, and why some problems seem more important to us than others. Problems are examined sociologically with an eye toward possible solutions.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
SOC 2120,Lauren Newmyer,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Population growth and distribution. Domestic and international perspectives on migration, fertility (births), and mortality (deaths).",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
SOC 2160,Julie Didelot,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. Analysis of privilege and oppression and how they were created and are maintained at the institutional level as well as how they are experienced at the interpersonal and individual levels in the U.S.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
SOC 2310,Jacqueline Hudson,"MW (1 hour 20 minutes), MWF (50 minutes)","Introduction to basic concepts and issues in the study of culture. Examines cultural variation in social organization, cultural values, and subsistence, and the differential impact of globalization.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
TECH 3020,Description Robyn Miller,TBA,"Current issues and their relationship to technology and systems in various cultures throughout the world; emphasis on explaining technological behaviors, and on showing how technology permeates all human affairs. Two one-and-one-half-hour lectures per week. Prerequisite: junior status or consent of instructor. Approved for distance education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,junior status or Y 2023 consent of instructor. Approved for distance © education.
ASTR 1010,Andrew Layden,"MF (50 minutes), W (1 hour 50 minutes)","Fall, Spring, Summer. Introduction to the properties of planets, stars, and galaxies; how they are distributed; and how they move within the universe. Students actively experiment in the lab, online, and outdoors to understand how astronomers gather information about these objects, and to appreciate the observational uncertainties in such measurements. Includes two hours per week of laboratory and observational work.",3,Fall 2023|Fall 2020|Spring 2020|Fall 2019,,s.
ASTR 2010,Allen Rogel,"MF (50 minutes), W (1 hour 50 minutes)","Fall, Spring, Summer. Introduction to the physical universe, including most or all of: motions in the sky, gravity, radiation, the Sun, the nature and evolution of stars, neutron stars and black holes, the Milky Way galaxy, galaxies, the structure and evolution of the universe, and the search for extraterrestrial life. Some observational work. Extra fee. Approved for distance education.",3,evolution of stars|neutron stars and black holes|the Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall Milky Way galaxy|galaxies|the structure and 2023 evolution of the universe|and the search for extraterrestrial life. Some observational work. Extra fee.,,
ASTR 2120,Kate Dellenbusch,MWF (50 minutes),"Fall, Spring, Summer. Introduction to planetary and space science, including most or all of: motions in the sky, the history of astronomy, the moon, solar/terrestrial relations, planetary structure and atmospheres, comets, asteroids, meteoroids, space exploration, and the origin of the solar system. Some observational work. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
BIOL 1010,Daniel Wiegmann,"(Class Length) 1 hour 50 minutes, 50 minutes","Fall, Spring, Summer. Basic ecology and current environmental problems of air, water and land pollution; human reproduction and population dynamics. Two one-hour lectures and one two-hour laboratory. Not accepted toward biology major or minor. Credit not given for more than one of ENVH 1050 and BIOL 1010. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,envh1050|biol1010,
BIOL 1040,Michael Geusz,"(Class Length) 1 hour 50 minutes, 50 minutes","Fall, Spring, Summer. Basic concepts: the cell, metabolism, genetics, reproduction, development, evolution, ecology. Three one-hour lectures, one two-hour laboratory. Not accepted toward biology major or minor. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
BIOL 1080,Kevin Neves,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall. Shore and ocean environments, variety and adaptations of marine life. Observations of marine organisms in marine laboratory. Three one-hour lectures. High school biology recommended. Not accepted toward biology major or minor.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
BIOL 2040,Mason Murphy,"(Class Length) 2 hours 50 minutes, 50 minutes","Fall, Spring, Summer on demand. Introduction to ecological and evolutionary biology, Mendelian and population genetics, and the major groups of plants, animals and microbes. Three one-hour lectures and one three-hour lab. Field trips required. Extra fee.",,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
BIOL 2050,Jonathon Whipps,"(Class Length) 2 hours 50 minutes, 50 minutes","Fall, Spring, Summer on demand. Introduction to molecular and cellular biology, physiology and organ systems. Three one-hour lectures and one three-hour lab. Extra fee.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
CHEM 1000,Subhalakshmi Nagarajan,"TuTh (2:30pm-3:45pm), TuTh (1:00pm-2:15pm), TuTh (9:30am-10:50am)","Fall, Spring, Summer. Examination of basic chemical concepts and role of chemistry in modern society. For students not majoring in sciences. Not counted toward chemistry major or minor.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
CHEM 1090,Siobhan Shay,"MWF (9:30am-10:20am), W (6:00pm-7:20pm), MW (11:00am-12:20pm)","Fall, Spring, Summer. General chemistry and introduction to organic chemistry. Not accepted toward chemistry major or minor. Corequisite: CHEM 1100.",3,CHEM 1100. Prerequisites: Two years of high school Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1190|math1200|math1210|math1220|math1280|math1290|math1310|math1340|math2150|math2320,"Two years of high school science and MATH 99 or MATH 1190, 1200, 1210, 1220, 1280, 1290, 1310, 1340, 2150, or 2320 or score of 32 or higher on the math placement exam. Approved for distance education. CHEM 1100 corequisite only offered in face to face format."
CHEM 1100,Siobhan Shay,"M (2 hours 50 minutes), Tu (2 hours 50 minutes)","Fall, Spring, Summer. Exploration of fundamental chemical principles and their application to the solution of environmental, health, and economic problems. Not accepted toward chemistry major or minor. Corequisite: CHEM 1090. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,chem1090,corequisite CHEM 1090.
CHEM 1230,Peter Blass,"Fall, Spring, Summer. Exploration of fundamental chemical principles and their application to the solution of environmental, health, and economic problems. Not accepted toward chemistry major or minor. Corequisite: CHEM 1090. Extra fee.","Fall, Spring, Summer. The first in a two-course sequence for science majors and students in other science-related programs. Topics include atomic structure, molecular structure and bonding, common classes of chemical reactions, stoichiometric calculations, thermochemistry, and properties of gases. Both conceptual understanding and problem-solving skills are emphasized. Three lectures, one recitation.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1200|math1220|math1230|math1280|math1310|math1340|chem1240,MATH 1200 or MATH 1220 or MATH 1230 or MATH 1280 or MATH 1310 or MATH 1340 or Math placement score of 41 or higher. High school chemistry is recommended. Corequisite CHEM 1240.
CHEM 1240,Ekaterina Mejiritski,"W (2 hours 50 minutes), Th (2 hours 50 minutes)","Fall, Spring, Summer. Laboratory course taken in conjunction with CHEM 1230. One three-hour lab period per week.",1,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,chem1230,corequisite CHEM 1230.
CHEM 1350,Siobhan Shay,"M (1:30pm-4:20pm), MWF (12:30pm-1:20pm), M (6:00pm-8:50pm)","Fall. The first in a two-course sequence for well- prepared chemistry majors, science majors, and students in other science-related programs. Topics include atomic structure, molecular structure and bonding, common classes of chemical reactions, stoichiometric calculations, thermochemistry, and properties of gases. Both conceptual understanding and problem-solving skills are emphasized. Three lectures, one recitation, one three-hour laboratory.",5,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,chem1090|math1220,s: high school chemistry or CHEM 1090 and MATH 1220 or higher or Math placement score of 41 or higher. Extra fee.
FN 2070,Staci Freeworth,"TuTh (11:30am-12:45pm), MW (8:00am-9:20am), TuTh (8:00am-9:20am)","Fall, Spring, Summer. Basic concepts and principles in the science of human nutrition, energy balance and weight control, individual nutrient needs, diet selection, nutrition related metabolism and physiological functions, nutritional diseases, and current human nutrition controversies. Approved for distance education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,fn2080,Corequisite FN 2080.
FN 2080,Lisa Langhals,"(Class Length) 1 hour 40 minutes, 1 hour 45 minutes","Fall, Spring, Summer. A laboratory course taken in conjunction with FN 2070. One two-hour lab period. Approved for distance education. Corequisite: FN 2070.",1,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,fn2070,Corequisite FN 2070.
GEOG 1250,Arthur Samel,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Introduction to the atmosphere with an emphasis on the factors that drive our weather and climate. Students apply these factors to better understand shorter term weather phenomena such as air masses, fronts, thunderstorms, hurricanes and blizzards as well as longer term climate phenomena including Earth-Sun relationships, glacial/interglacial cycles, the greenhouse effect and global warming.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,geog1250|geog1260,
GEOG 1260,Arthur Samel,(Class Length) 1 hour 50 minutes,"Introduction to meteorology including characteristics of the atmosphere, drivers of atmospheric motion, meteorological phenomena and tools used to measure the atmosphere. Students learn about meteorological data and actively apply it in a lab setting to develop an understanding of a range of atmospheric characteristics and phenomena, an appreciation of weather prediction uncertainties and an awareness of the warning systems used to notify the public about severe weather events.",3,Fall 2025|Fall 2024|Fall 2023|Spring 2023|Fall 2022,geog1250|geog1260,
GEOL 1000,Yuning Fu,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. The earth; physical and historical geology; including economic, social and environmental aspects. Not open to geology majors and minors. Credit allowed for no more than one: GEOL 1000, GEOL 1010, GEOL 1040, GEOL 1940Q. Approved for Distance Education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
GEOL 1040,Sheila Roberts,"(Class Length) 1 hour 50 minutes, 1 hour 15 minutes","Introduction to the principles of geology and Earth's dynamic systems. Earth materials and processes and their connections to people, including natural resources and hazards. Credit allowed for no more than one: GEOL 1000, GEOL 1010, GEOL 1040. Extra fee.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,geol1000|geol1010|geol1040,
GEOL 1050,Christopher Lepre,"(Class Length) 1 hour 50 minutes, 1 hour 15 minutes","Introduction to the origin, evolution, and extinction of major fossil groups in relation to a changing Earth through time. Three lectures and one two- hour lab. Extra fee.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
GEOL 2150,Joshua Luurtsema,"(Class Length) 1 hour 50 minutes, 50 minutes","Spring. Evolution, ways of life and extinction of the Dinosauria; geologic history of vertebrates and dinosaurs in relation to a changing earth. Two lectures and one two-hour laboratory. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
HNRS 2500,Daniel Pavuk,MWF (50 minutes),"Interdisciplinary seminar that explores contemporary issues in science, technology, engineering, and mathematics. Emphasizes analysis, discussion, and evaluation of issues and projects that help investigate issues. Introduces students to quantitative research to prepare for a future Honors project. Fulfills the critical thinking applications requirement for 1st year Honors students.",3,,hnrs2010,HNRS 2010 and admission to BGSU's Honors College
PHYS 1010,Lisa Bodi,"M (1 hour 50 minutes), W (1 hour 50 minutes)","Fall, Spring. Laboratory course for non-science majors. Elementary description of major physics concepts and principles with contemporary applications. Not acceptable toward physics major or minor. Two lectures and one two-hour laboratory. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHYS 2010,Eric Mandell,"(Class Length) 1 hour 50 minutes, 50 minutes","Fall, Spring, Summer. First term of an introductory physics sequence using algebra and trigonometry, but not calculus. Topics include motion, forces, energy, fluids, heat and simple harmonic motion. Four lecture-recitations and one two-hour laboratory.",5,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1120|math1200,satisfactory score on the math placement exam or a grade of C or higher in MATH 1120 or in MATH 1200 or above. Extra fee.
PHYS 2020,Andrew McNeill,"(Class Length) 1 hour 50 minutes, 50 minutes","Fall, Spring, Summer. PHYS 2010 continued. Simple harmonic motion, wave motion, sound, electricity, magnetism, electrical measurements, optics; atomic, nuclear and solid-state physics. Four lecture- recitations and one two-hour laboratory.",5,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,phys2010,PHYS 2010. Extra fee.
PHYS 2110,Andrew McNeill,"M (1 hour 50 minutes), TuTh (50 minutes)","Fall. Introductory calculus-based physics sequence for science and engineering majors. Kinematics in One, two and three dimensions; Newtonian mechanics; gravitation; heat and thermodynamics. Four lecture-recitations and one two-hour Q laboratory.",5,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,math1310,Corequisite MATH 1310. Extra fee.
PHYS 2120,Alexey Zayak,"M (3:30pm-5:20pm), M (1:30pm-3:20pm), WF (1:30pm-2:20pm)","Spring. PHYS 2110 continued. Wave motion, sound, optics, electricity and magnetism. Four lecture- recitations and one two-hour laboratory.",5,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,phys2110|math2320,PHYS 2110. Corequisite: MATH 2320. Extra fee.
SEES 2220,Ganming Liu,"TuTh (9:30am-10:45am), TuTh (2:30pm-3:45pm), TuTh (11:30am-12:45pm)","Introduction to scientific issues affecting the world's fresh water supply with an emphasis on water use, water quality, conflict, and environmental and social sustainability in Ohio, the US and the world.",3,Fall 2025|Spring 2025|Spring 2023|Spring 2022. Fall 2021,,
EDTL 2010,Trisha Prunty,"Tu (50 minutes), Th (50 minutes)",Introduction to educational foundation topics and contemporary issues for prospective teachers. Explore and analyze the teaching profession in a weekly seminar and field experiences. Engages four themes and nine learning outcomes in accordance with Ohio TAGs. Required as an entry-year experience for all teacher-education candidates. Also required: FBI/BCI background checks valid throughout semester of enrollment. Extra fee.,3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
